file,label,score
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100014_0.jpg,M,0.80
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100046_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100046_1.jpg,M,0.70
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100049_0.jpg,M,0.54
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100053_0.jpg,M,0.97
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100065_0.jpg,F,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100065_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100070_0.jpg,F,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100070_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1000764_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1000774_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100079_0.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100114_0.jpg,M,0.93
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100135_0.jpg,M,0.66
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100143_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100148_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100148_1.jpg,M,0.99
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1001508_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1001508_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1001508_2.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100151_0.jpg,M,0.96
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1001540_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1001540_1.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100172_0.jpg,F,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100200_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100201_0.jpg,M,0.79
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100211_0.jpg,F,0.84
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100212_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100232_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100232_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1002536_0.jpg,M,0.96
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100265_0.jpg,M,0.90
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100265_1.jpg,F,0.80
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100273_0.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100280_0.jpg,M,0.98
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\100280_1.jpg,M,1.00
C:\Users\SG-Innovation\Desktop\movie_analysis\faces\1002959_0.jpg,M,0.85
